2025-12-18 21:41:28 - system_events - INFO - [BOOT_TEST] {"message": "system_events logging verified"}
2025-12-18 21:41:34 - system_events - INFO - [SYSTEM_READY] {"all_critical_threads_alive": true}
2025-12-18 23:12:38 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:12:38.612170", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:14:20 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:14:20.063071", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:16:01 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:16:01.438294", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:17:43 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:17:43.134169", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:19:23 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:19:23.685610", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:21:08 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:21:08.192015", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:22:49 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:22:49.240695", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:24:30 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:24:30.375371", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:26:13 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:26:13.068556", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:27:53 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:27:53.145055", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:29:32 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:29:32.166109", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:31:11 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:31:11.603206", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:32:50 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:32:50.801243", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:34:29 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:34:29.749737", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:36:10 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:36:10.116656", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:37:48 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:37:48.826838", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:39:27 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:39:27.325138", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:41:07 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:41:07.748141", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:42:46 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:42:46.974670", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:44:26 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:44:26.830114", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:46:08 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:46:08.758932", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:47:48 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:47:48.147703", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:49:27 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:49:27.080613", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:51:09 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:51:09.114018", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:52:47 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:52:47.991023", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:54:26 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:54:26.514924", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:56:07 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:56:07.817081", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:57:46 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:57:46.676630", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-18 23:59:24 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-18T23:59:24.902801", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:01:05 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:01:05.870537", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
2025-12-19 00:02:45 - system_events - INFO - [BOT_LOOP_TICK] {"time": "2025-12-19T00:02:45.014596", "openTrades": 0, "equity": 9990.31, "balance": 9990.31}
