2025-12-14 22:26:06 - backtest_runner - INFO - mode=BACKTEST | Setting up backtest environment...
2025-12-14 22:26:06 - backtest_runner - INFO - mode=BACKTEST | Data preflight validation complete: 14 valid symbols, 0 skipped
2025-12-14 22:26:15 - backtest_runner - INFO - Market data provider initialized with start time: 2025-10-27 08:21:00
2025-12-14 22:26:15 - backtest_runner - INFO - Backtest environment setup complete
2025-12-14 22:26:15 - backtest_runner - INFO - Initializing trading bot for backtest mode...
2025-12-14 22:26:16 - backtest_runner - INFO - Registered SL worker loop callback
2025-12-14 22:26:16 - backtest_runner - INFO - Registered run_cycle callback
2025-12-14 22:26:16 - backtest_runner - INFO - Trading bot initialized for backtest
2025-12-14 22:26:16 - backtest_runner - INFO - ================================================================================
2025-12-14 22:26:16 - backtest_runner - INFO - STARTING BACKTEST
2025-12-14 23:24:54 - backtest_runner - INFO - Backtest progress: Step 3941 | Time: 2025-10-30 11:04:00 | Speed: 0.4 steps/sec
2025-12-14 23:25:26 - backtest_runner - INFO - Backtest progress: Step 3955 | Time: 2025-10-30 11:18:00 | Speed: 0.4 steps/sec
2025-12-14 23:25:58 - backtest_runner - INFO - Backtest progress: Step 3970 | Time: 2025-10-30 11:33:00 | Speed: 0.5 steps/sec
2025-12-14 23:26:28 - backtest_runner - INFO - Backtest progress: Step 3983 | Time: 2025-10-30 11:46:00 | Speed: 0.4 steps/sec
2025-12-14 23:26:58 - backtest_runner - INFO - Backtest progress: Step 4000 | Time: 2025-10-30 12:03:00 | Speed: 0.6 steps/sec
2025-12-14 23:27:30 - backtest_runner - INFO - Backtest progress: Step 4015 | Time: 2025-10-30 12:18:00 | Speed: 0.5 steps/sec
2025-12-14 23:28:02 - backtest_runner - INFO - Backtest progress: Step 4031 | Time: 2025-10-30 12:34:00 | Speed: 0.5 steps/sec
2025-12-14 23:28:32 - backtest_runner - INFO - Backtest progress: Step 4043 | Time: 2025-10-30 12:46:00 | Speed: 0.4 steps/sec
2025-12-14 23:29:03 - backtest_runner - INFO - Backtest progress: Step 4056 | Time: 2025-10-30 12:59:00 | Speed: 0.4 steps/sec
2025-12-14 23:29:34 - backtest_runner - INFO - Backtest progress: Step 4070 | Time: 2025-10-30 13:13:00 | Speed: 0.5 steps/sec
2025-12-14 23:30:06 - backtest_runner - INFO - Backtest progress: Step 4083 | Time: 2025-10-30 13:26:00 | Speed: 0.4 steps/sec
2025-12-14 23:30:37 - backtest_runner - INFO - Backtest progress: Step 4097 | Time: 2025-10-30 13:40:00 | Speed: 0.5 steps/sec
2025-12-14 23:31:07 - backtest_runner - INFO - Backtest progress: Step 4110 | Time: 2025-10-30 13:53:00 | Speed: 0.4 steps/sec
