2025-12-19 00:05:13 - lightweight_realtime - INFO - [2025-12-19 00:05:13.941] Positions: 1 | State: SCANNING | Symbol: USDTHBm
2025-12-19 00:05:14 - lightweight_realtime - INFO - [2025-12-19 00:05:14.977] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:15 - lightweight_realtime - INFO - [2025-12-19 00:05:15.985] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:17 - lightweight_realtime - INFO - [2025-12-19 00:05:17.009] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:18 - lightweight_realtime - INFO - [2025-12-19 00:05:18.034] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:19 - lightweight_realtime - INFO - [2025-12-19 00:05:19.056] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:20 - lightweight_realtime - INFO - [2025-12-19 00:05:20.076] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:21 - lightweight_realtime - INFO - [2025-12-19 00:05:21.091] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:22 - lightweight_realtime - INFO - [2025-12-19 00:05:22.113] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:23 - lightweight_realtime - INFO - [2025-12-19 00:05:23.136] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:24 - lightweight_realtime - INFO - [2025-12-19 00:05:24.161] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:25 - lightweight_realtime - INFO - [2025-12-19 00:05:25.183] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:26 - lightweight_realtime - INFO - [2025-12-19 00:05:26.205] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:27 - lightweight_realtime - INFO - [2025-12-19 00:05:27.226] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:28 - lightweight_realtime - INFO - [2025-12-19 00:05:28.236] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:29 - lightweight_realtime - INFO - [2025-12-19 00:05:29.254] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:30 - lightweight_realtime - INFO - [2025-12-19 00:05:30.271] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:31 - lightweight_realtime - INFO - [2025-12-19 00:05:31.303] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:32 - lightweight_realtime - INFO - [2025-12-19 00:05:32.329] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:33 - lightweight_realtime - INFO - [2025-12-19 00:05:33.349] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:34 - lightweight_realtime - INFO - [2025-12-19 00:05:34.375] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:35 - lightweight_realtime - INFO - [2025-12-19 00:05:35.407] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:36 - lightweight_realtime - INFO - [2025-12-19 00:05:36.430] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:37 - lightweight_realtime - INFO - [2025-12-19 00:05:37.454] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:38 - lightweight_realtime - INFO - [2025-12-19 00:05:38.475] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:39 - lightweight_realtime - INFO - [2025-12-19 00:05:39.499] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:40 - lightweight_realtime - INFO - [2025-12-19 00:05:40.518] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:41 - lightweight_realtime - INFO - [2025-12-19 00:05:41.539] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:42 - lightweight_realtime - INFO - [2025-12-19 00:05:42.558] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:43 - lightweight_realtime - INFO - [2025-12-19 00:05:43.583] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:44 - lightweight_realtime - INFO - [2025-12-19 00:05:44.596] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:45 - lightweight_realtime - INFO - [2025-12-19 00:05:45.604] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:46 - lightweight_realtime - INFO - [2025-12-19 00:05:46.632] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:47 - lightweight_realtime - INFO - [2025-12-19 00:05:47.652] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:48 - lightweight_realtime - INFO - [2025-12-19 00:05:48.664] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:49 - lightweight_realtime - INFO - [2025-12-19 00:05:49.673] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:50 - lightweight_realtime - INFO - [2025-12-19 00:05:50.680] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:51 - lightweight_realtime - INFO - [2025-12-19 00:05:51.711] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:52 - lightweight_realtime - INFO - [2025-12-19 00:05:52.732] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:53 - lightweight_realtime - INFO - [2025-12-19 00:05:53.756] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:54 - lightweight_realtime - INFO - [2025-12-19 00:05:54.769] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:55 - lightweight_realtime - INFO - [2025-12-19 00:05:55.792] Positions: 1 | State: IDLE | Symbol: N/A
2025-12-19 00:05:56 - lightweight_realtime - INFO - [2025-12-19 00:05:56.835] Positions: 1 | State: IDLE | Symbol: N/A
