2025-12-17 17:25:30 - lightweight_realtime - INFO - [2025-12-17 17:25:30.315] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:31 - lightweight_realtime - INFO - [2025-12-17 17:25:31.330] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:32 - lightweight_realtime - INFO - [2025-12-17 17:25:32.399] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:33 - lightweight_realtime - INFO - [2025-12-17 17:25:33.450] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:35 - lightweight_realtime - INFO - [2025-12-17 17:25:35.320] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:36 - lightweight_realtime - INFO - [2025-12-17 17:25:36.353] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:37 - lightweight_realtime - INFO - [2025-12-17 17:25:37.380] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:38 - lightweight_realtime - INFO - [2025-12-17 17:25:38.419] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:39 - lightweight_realtime - INFO - [2025-12-17 17:25:39.600] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:40 - lightweight_realtime - INFO - [2025-12-17 17:25:40.615] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:41 - lightweight_realtime - INFO - [2025-12-17 17:25:41.810] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:43 - lightweight_realtime - INFO - [2025-12-17 17:25:43.528] Positions: 0 | State: SCANNING | Symbol: US30m
2025-12-17 17:25:44 - lightweight_realtime - INFO - [2025-12-17 17:25:44.539] Positions: 0 | State: SCANNING | Symbol: BTCXAGm
2025-12-17 17:25:45 - lightweight_realtime - INFO - [2025-12-17 17:25:45.696] Positions: 0 | State: SCANNING | Symbol: INTCm
2025-12-17 17:25:46 - lightweight_realtime - INFO - [2025-12-17 17:25:46.812] Positions: 0 | State: SCANNING | Symbol: TSLAm
2025-12-17 17:25:47 - lightweight_realtime - INFO - [2025-12-17 17:25:47.928] Positions: 0 | State: SCANNING | Symbol: NVDAm
2025-12-17 17:25:48 - lightweight_realtime - INFO - [2025-12-17 17:25:48.939] Positions: 0 | State: SCANNING | Symbol: MCDm
2025-12-17 17:25:49 - lightweight_realtime - INFO - [2025-12-17 17:25:49.959] Positions: 0 | State: SCANNING | Symbol: EURCADm
2025-12-17 17:25:50 - lightweight_realtime - INFO - [2025-12-17 17:25:50.976] Positions: 0 | State: SCANNING | Symbol: AMDm
2025-12-17 17:25:52 - lightweight_realtime - INFO - [2025-12-17 17:25:52.028] Positions: 0 | State: SCANNING | Symbol: EURNZDm
2025-12-17 17:25:53 - lightweight_realtime - INFO - [2025-12-17 17:25:53.030] Positions: 0 | State: SCANNING | Symbol: USDNOKm
2025-12-17 17:25:54 - lightweight_realtime - INFO - [2025-12-17 17:25:54.061] Positions: 0 | State: SCANNING | Symbol: USDZARm
2025-12-17 17:25:55 - lightweight_realtime - INFO - [2025-12-17 17:25:55.111] Positions: 0 | State: SCANNING | Symbol: EURMXNm
2025-12-17 17:25:56 - lightweight_realtime - INFO - [2025-12-17 17:25:56.464] Positions: 0 | State: SCANNING | Symbol: AUDDKKm
2025-12-17 17:25:57 - lightweight_realtime - INFO - [2025-12-17 17:25:57.765] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:58 - lightweight_realtime - INFO - [2025-12-17 17:25:58.859] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:25:59 - lightweight_realtime - INFO - [2025-12-17 17:25:59.980] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:01 - lightweight_realtime - INFO - [2025-12-17 17:26:01.539] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:02 - lightweight_realtime - INFO - [2025-12-17 17:26:02.566] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:03 - lightweight_realtime - INFO - [2025-12-17 17:26:03.590] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:04 - lightweight_realtime - INFO - [2025-12-17 17:26:04.945] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:05 - lightweight_realtime - INFO - [2025-12-17 17:26:05.972] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:06 - lightweight_realtime - INFO - [2025-12-17 17:26:06.979] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:07 - lightweight_realtime - INFO - [2025-12-17 17:26:07.990] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:09 - lightweight_realtime - INFO - [2025-12-17 17:26:09.038] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:10 - lightweight_realtime - INFO - [2025-12-17 17:26:10.226] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:11 - lightweight_realtime - INFO - [2025-12-17 17:26:11.245] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:12 - lightweight_realtime - INFO - [2025-12-17 17:26:12.269] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:13 - lightweight_realtime - INFO - [2025-12-17 17:26:13.310] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:14 - lightweight_realtime - INFO - [2025-12-17 17:26:14.318] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:15 - lightweight_realtime - INFO - [2025-12-17 17:26:15.332] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:16 - lightweight_realtime - INFO - [2025-12-17 17:26:16.350] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:17 - lightweight_realtime - INFO - [2025-12-17 17:26:17.544] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-17 17:26:18 - lightweight_realtime - INFO - [2025-12-17 17:26:18.576] Positions: 0 | State: SCANNING | Symbol: DE30m
2025-12-17 17:26:19 - lightweight_realtime - INFO - [2025-12-17 17:26:19.939] Positions: 0 | State: SCANNING | Symbol: HK50m
2025-12-17 17:26:21 - lightweight_realtime - INFO - [2025-12-17 17:26:21.221] Positions: 0 | State: SCANNING | Symbol: WMTm
2025-12-17 17:26:22 - lightweight_realtime - INFO - [2025-12-17 17:26:22.244] Positions: 0 | State: SCANNING | Symbol: MMMm
2025-12-17 17:26:23 - lightweight_realtime - INFO - [2025-12-17 17:26:23.469] Positions: 0 | State: SCANNING | Symbol: Vm
2025-12-17 17:26:24 - lightweight_realtime - INFO - [2025-12-17 17:26:24.509] Positions: 0 | State: SCANNING | Symbol: USDNOKm
2025-12-17 17:26:25 - lightweight_realtime - INFO - [2025-12-17 17:26:25.524] Positions: 0 | State: SCANNING | Symbol: USDZARm
2025-12-17 17:26:26 - lightweight_realtime - INFO - [2025-12-17 17:26:26.538] Positions: 0 | State: SCANNING | Symbol: GBPSGDm
2025-12-17 17:26:27 - lightweight_realtime - INFO - [2025-12-17 17:26:27.586] Positions: 0 | State: SCANNING | Symbol: NZDSEKm
2025-12-17 17:26:28 - lightweight_realtime - INFO - [2025-12-17 17:26:28.873] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:29 - lightweight_realtime - INFO - [2025-12-17 17:26:29.883] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:30 - lightweight_realtime - INFO - [2025-12-17 17:26:30.895] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:31 - lightweight_realtime - INFO - [2025-12-17 17:26:31.931] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:32 - lightweight_realtime - INFO - [2025-12-17 17:26:32.938] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:33 - lightweight_realtime - INFO - [2025-12-17 17:26:33.959] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:34 - lightweight_realtime - INFO - [2025-12-17 17:26:34.973] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:35 - lightweight_realtime - INFO - [2025-12-17 17:26:35.985] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:37 - lightweight_realtime - INFO - [2025-12-17 17:26:37.003] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:38 - lightweight_realtime - INFO - [2025-12-17 17:26:38.048] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:39 - lightweight_realtime - INFO - [2025-12-17 17:26:39.304] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:43 - lightweight_realtime - INFO - [2025-12-17 17:26:43.635] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:45 - lightweight_realtime - INFO - [2025-12-17 17:26:45.567] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-17 17:26:47 - lightweight_realtime - INFO - [2025-12-17 17:26:47.284] Positions: 0 | State: IDLE | Symbol: N/A
