2025-12-18 21:42:59 - lightweight_realtime - INFO - [2025-12-18 21:42:59.616] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:00 - lightweight_realtime - INFO - [2025-12-18 21:43:00.651] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:01 - lightweight_realtime - INFO - [2025-12-18 21:43:01.682] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:02 - lightweight_realtime - INFO - [2025-12-18 21:43:02.785] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:03 - lightweight_realtime - INFO - [2025-12-18 21:43:03.803] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:04 - lightweight_realtime - INFO - [2025-12-18 21:43:04.819] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:05 - lightweight_realtime - INFO - [2025-12-18 21:43:05.845] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:06 - lightweight_realtime - INFO - [2025-12-18 21:43:06.910] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:07 - lightweight_realtime - INFO - [2025-12-18 21:43:07.984] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:09 - lightweight_realtime - INFO - [2025-12-18 21:43:09.007] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:10 - lightweight_realtime - INFO - [2025-12-18 21:43:10.030] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:11 - lightweight_realtime - INFO - [2025-12-18 21:43:11.042] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:12 - lightweight_realtime - INFO - [2025-12-18 21:43:12.073] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:13 - lightweight_realtime - INFO - [2025-12-18 21:43:13.105] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:14 - lightweight_realtime - INFO - [2025-12-18 21:43:14.144] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:15 - lightweight_realtime - INFO - [2025-12-18 21:43:15.167] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:16 - lightweight_realtime - INFO - [2025-12-18 21:43:16.192] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:17 - lightweight_realtime - INFO - [2025-12-18 21:43:17.203] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:18 - lightweight_realtime - INFO - [2025-12-18 21:43:18.224] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:19 - lightweight_realtime - INFO - [2025-12-18 21:43:19.235] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:20 - lightweight_realtime - INFO - [2025-12-18 21:43:20.258] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:21 - lightweight_realtime - INFO - [2025-12-18 21:43:21.277] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:22 - lightweight_realtime - INFO - [2025-12-18 21:43:22.287] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:23 - lightweight_realtime - INFO - [2025-12-18 21:43:23.310] Positions: 0 | State: MANAGING TRADE | Symbol: BTCUSDm
2025-12-18 21:43:24 - lightweight_realtime - INFO - [2025-12-18 21:43:24.334] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-18 21:43:25 - lightweight_realtime - INFO - [2025-12-18 21:43:25.484] Positions: 0 | State: SCANNING | Symbol: US30m
2025-12-18 21:43:26 - lightweight_realtime - INFO - [2025-12-18 21:43:26.524] Positions: 0 | State: SCANNING | Symbol: DE30m
