2025-12-14 22:29:37 - lightweight_realtime - INFO - [2025-12-14 22:29:37.290] Positions: 0 | State: SCANNING | Symbol: NZDJPYm
2025-12-14 22:29:38 - lightweight_realtime - INFO - [2025-12-14 22:29:38.316] Positions: 0 | State: SCANNING | Symbol: BTCXAUm
2025-12-14 22:29:39 - lightweight_realtime - INFO - [2025-12-14 22:29:39.332] Positions: 0 | State: SCANNING | Symbol: NZDDKKm
2025-12-14 22:29:40 - lightweight_realtime - INFO - [2025-12-14 22:29:40.376] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:41 - lightweight_realtime - INFO - [2025-12-14 22:29:41.398] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:42 - lightweight_realtime - INFO - [2025-12-14 22:29:42.408] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:43 - lightweight_realtime - INFO - [2025-12-14 22:29:43.424] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:44 - lightweight_realtime - INFO - [2025-12-14 22:29:44.437] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:45 - lightweight_realtime - INFO - [2025-12-14 22:29:45.459] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:46 - lightweight_realtime - INFO - [2025-12-14 22:29:46.484] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:47 - lightweight_realtime - INFO - [2025-12-14 22:29:47.503] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:48 - lightweight_realtime - INFO - [2025-12-14 22:29:48.526] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:49 - lightweight_realtime - INFO - [2025-12-14 22:29:49.546] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:50 - lightweight_realtime - INFO - [2025-12-14 22:29:50.570] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:51 - lightweight_realtime - INFO - [2025-12-14 22:29:51.591] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:52 - lightweight_realtime - INFO - [2025-12-14 22:29:52.611] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:53 - lightweight_realtime - INFO - [2025-12-14 22:29:53.623] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:54 - lightweight_realtime - INFO - [2025-12-14 22:29:54.642] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:55 - lightweight_realtime - INFO - [2025-12-14 22:29:55.661] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:56 - lightweight_realtime - INFO - [2025-12-14 22:29:56.685] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:57 - lightweight_realtime - INFO - [2025-12-14 22:29:57.778] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:58 - lightweight_realtime - INFO - [2025-12-14 22:29:58.802] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:29:59 - lightweight_realtime - INFO - [2025-12-14 22:29:59.819] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:00 - lightweight_realtime - INFO - [2025-12-14 22:30:00.844] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-14 22:30:01 - lightweight_realtime - INFO - [2025-12-14 22:30:01.907] Positions: 0 | State: SCANNING | Symbol: USDCADm
2025-12-14 22:30:02 - lightweight_realtime - INFO - [2025-12-14 22:30:02.986] Positions: 0 | State: SCANNING | Symbol: EURCADm
2025-12-14 22:30:04 - lightweight_realtime - INFO - [2025-12-14 22:30:04.082] Positions: 0 | State: SCANNING | Symbol: USDSEKm
2025-12-14 22:30:05 - lightweight_realtime - INFO - [2025-12-14 22:30:05.100] Positions: 0 | State: SCANNING | Symbol: GBPCHFm
2025-12-14 22:30:06 - lightweight_realtime - INFO - [2025-12-14 22:30:06.171] Positions: 0 | State: SCANNING | Symbol: EURNOKm
2025-12-14 22:30:07 - lightweight_realtime - INFO - [2025-12-14 22:30:07.212] Positions: 0 | State: SCANNING | Symbol: AUDNOKm
2025-12-14 22:30:08 - lightweight_realtime - INFO - [2025-12-14 22:30:08.235] Positions: 0 | State: SCANNING | Symbol: SGDHKDm
2025-12-14 22:30:09 - lightweight_realtime - INFO - [2025-12-14 22:30:09.265] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:10 - lightweight_realtime - INFO - [2025-12-14 22:30:10.297] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:11 - lightweight_realtime - INFO - [2025-12-14 22:30:11.324] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:12 - lightweight_realtime - INFO - [2025-12-14 22:30:12.344] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:13 - lightweight_realtime - INFO - [2025-12-14 22:30:13.367] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:14 - lightweight_realtime - INFO - [2025-12-14 22:30:14.399] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:15 - lightweight_realtime - INFO - [2025-12-14 22:30:15.422] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:16 - lightweight_realtime - INFO - [2025-12-14 22:30:16.440] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:17 - lightweight_realtime - INFO - [2025-12-14 22:30:17.462] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:18 - lightweight_realtime - INFO - [2025-12-14 22:30:18.481] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:19 - lightweight_realtime - INFO - [2025-12-14 22:30:19.519] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:20 - lightweight_realtime - INFO - [2025-12-14 22:30:20.533] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:21 - lightweight_realtime - INFO - [2025-12-14 22:30:21.553] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-14 22:30:22 - lightweight_realtime - INFO - [2025-12-14 22:30:22.569] Positions: 0 | State: IDLE | Symbol: N/A
