2025-12-23 10:01:56 - lightweight_realtime - INFO - [2025-12-23 10:01:56.052] Positions: 0 | State: SCANNING | Symbol: GBPILSm
2025-12-23 10:01:57 - lightweight_realtime - INFO - [2025-12-23 10:01:57.068] Positions: 0 | State: SCANNING | Symbol: PLNDKKm
2025-12-23 10:01:58 - lightweight_realtime - INFO - [2025-12-23 10:01:58.094] Positions: 0 | State: SCANNING | Symbol: EURNOKm
2025-12-23 10:01:59 - lightweight_realtime - INFO - [2025-12-23 10:01:59.460] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:00 - lightweight_realtime - INFO - [2025-12-23 10:02:00.468] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:01 - lightweight_realtime - INFO - [2025-12-23 10:02:01.508] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:02 - lightweight_realtime - INFO - [2025-12-23 10:02:02.527] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:03 - lightweight_realtime - INFO - [2025-12-23 10:02:03.552] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:04 - lightweight_realtime - INFO - [2025-12-23 10:02:04.606] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:05 - lightweight_realtime - INFO - [2025-12-23 10:02:05.620] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:06 - lightweight_realtime - INFO - [2025-12-23 10:02:06.634] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:07 - lightweight_realtime - INFO - [2025-12-23 10:02:07.664] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:08 - lightweight_realtime - INFO - [2025-12-23 10:02:08.690] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:09 - lightweight_realtime - INFO - [2025-12-23 10:02:09.720] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:10 - lightweight_realtime - INFO - [2025-12-23 10:02:10.746] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:11 - lightweight_realtime - INFO - [2025-12-23 10:02:11.776] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:12 - lightweight_realtime - INFO - [2025-12-23 10:02:12.805] Positions: 1 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:13 - lightweight_realtime - INFO - [2025-12-23 10:02:13.829] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:14 - lightweight_realtime - INFO - [2025-12-23 10:02:14.855] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:15 - lightweight_realtime - INFO - [2025-12-23 10:02:15.875] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:16 - lightweight_realtime - INFO - [2025-12-23 10:02:16.894] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:17 - lightweight_realtime - INFO - [2025-12-23 10:02:17.914] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:18 - lightweight_realtime - INFO - [2025-12-23 10:02:18.942] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:19 - lightweight_realtime - INFO - [2025-12-23 10:02:19.963] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:20 - lightweight_realtime - INFO - [2025-12-23 10:02:20.986] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:21 - lightweight_realtime - INFO - [2025-12-23 10:02:21.998] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:23 - lightweight_realtime - INFO - [2025-12-23 10:02:23.002] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:24 - lightweight_realtime - INFO - [2025-12-23 10:02:24.017] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:25 - lightweight_realtime - INFO - [2025-12-23 10:02:25.041] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:26 - lightweight_realtime - INFO - [2025-12-23 10:02:26.065] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
2025-12-23 10:02:27 - lightweight_realtime - INFO - [2025-12-23 10:02:27.090] Positions: 0 | State: MANAGING TRADE | Symbol: DE30m
