2025-12-22 07:44:45 - lightweight_realtime - INFO - [2025-12-22 07:44:45.568] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:47 - lightweight_realtime - INFO - [2025-12-22 07:44:47.163] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:48 - lightweight_realtime - INFO - [2025-12-22 07:44:48.363] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:50 - lightweight_realtime - INFO - [2025-12-22 07:44:50.603] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:51 - lightweight_realtime - INFO - [2025-12-22 07:44:51.964] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:53 - lightweight_realtime - INFO - [2025-12-22 07:44:53.730] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:54 - lightweight_realtime - INFO - [2025-12-22 07:44:54.931] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:56 - lightweight_realtime - INFO - [2025-12-22 07:44:56.763] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:57 - lightweight_realtime - INFO - [2025-12-22 07:44:57.806] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:44:59 - lightweight_realtime - INFO - [2025-12-22 07:44:59.083] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:00 - lightweight_realtime - INFO - [2025-12-22 07:45:00.129] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:02 - lightweight_realtime - INFO - [2025-12-22 07:45:02.206] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:03 - lightweight_realtime - INFO - [2025-12-22 07:45:03.567] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:05 - lightweight_realtime - INFO - [2025-12-22 07:45:05.323] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:06 - lightweight_realtime - INFO - [2025-12-22 07:45:06.602] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:07 - lightweight_realtime - INFO - [2025-12-22 07:45:07.643] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:09 - lightweight_realtime - INFO - [2025-12-22 07:45:09.083] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:10 - lightweight_realtime - INFO - [2025-12-22 07:45:10.842] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:12 - lightweight_realtime - INFO - [2025-12-22 07:45:12.362] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:13 - lightweight_realtime - INFO - [2025-12-22 07:45:13.725] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:14 - lightweight_realtime - INFO - [2025-12-22 07:45:14.763] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:17 - lightweight_realtime - INFO - [2025-12-22 07:45:17.646] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:21 - lightweight_realtime - INFO - [2025-12-22 07:45:21.327] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:23 - lightweight_realtime - INFO - [2025-12-22 07:45:23.169] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:25 - lightweight_realtime - INFO - [2025-12-22 07:45:25.885] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:27 - lightweight_realtime - INFO - [2025-12-22 07:45:27.806] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:30 - lightweight_realtime - INFO - [2025-12-22 07:45:30.362] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:32 - lightweight_realtime - INFO - [2025-12-22 07:45:32.762] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:34 - lightweight_realtime - INFO - [2025-12-22 07:45:33.966] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:35 - lightweight_realtime - INFO - [2025-12-22 07:45:35.082] Positions: 1 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 07:45:42 - lightweight_realtime - INFO - [2025-12-22 07:45:42.042] Positions: 1 | State: SCANNING | Symbol: N/A
2025-12-22 07:45:45 - lightweight_realtime - INFO - [2025-12-22 07:45:45.082] Positions: 1 | State: SCANNING | Symbol: XAUUSDm
2025-12-22 07:45:48 - lightweight_realtime - INFO - [2025-12-22 07:45:48.522] Positions: 1 | State: SCANNING | Symbol: XAUUSDm
2025-12-22 07:45:50 - lightweight_realtime - INFO - [2025-12-22 07:45:50.204] Positions: 1 | State: SCANNING | Symbol: XAUUSDm
2025-12-22 07:45:51 - lightweight_realtime - INFO - [2025-12-22 07:45:51.322] Positions: 1 | State: SCANNING | Symbol: XAUUSDm
2025-12-22 07:46:02 - lightweight_realtime - INFO - [2025-12-22 07:46:00.602] Positions: 1 | State: SCANNING | Symbol: XAUUSDm
2025-12-22 07:46:04 - lightweight_realtime - INFO - [2025-12-22 07:46:04.202] Positions: 1 | State: SCANNING | Symbol: XAUUSDm
2025-12-22 07:46:12 - lightweight_realtime - INFO - [2025-12-22 07:46:12.607] Positions: 1 | State: SCANNING | Symbol: XAUAUDm
2025-12-22 07:46:13 - lightweight_realtime - INFO - [2025-12-22 07:46:13.722] Positions: 1 | State: SCANNING | Symbol: XAUAUDm
2025-12-22 07:46:17 - lightweight_realtime - INFO - [2025-12-22 07:46:17.245] Positions: 1 | State: SCANNING | Symbol: XAUEURm
2025-12-22 07:46:18 - lightweight_realtime - INFO - [2025-12-22 07:46:18.282] Positions: 1 | State: SCANNING | Symbol: XAUGBPm
2025-12-22 07:46:20 - lightweight_realtime - INFO - [2025-12-22 07:46:20.446] Positions: 1 | State: SCANNING | Symbol: XAUGBPm
2025-12-22 07:46:25 - lightweight_realtime - INFO - [2025-12-22 07:46:25.402] Positions: 1 | State: SCANNING | Symbol: GBPUSDm
2025-12-22 07:46:26 - lightweight_realtime - INFO - [2025-12-22 07:46:26.685] Positions: 1 | State: SCANNING | Symbol: GBPUSDm
2025-12-22 07:46:29 - lightweight_realtime - INFO - [2025-12-22 07:46:27.883] Positions: 1 | State: SCANNING | Symbol: GBPUSDm
2025-12-22 07:46:30 - lightweight_realtime - INFO - [2025-12-22 07:46:30.763] Positions: 0 | State: SCANNING | Symbol: US30m
2025-12-22 07:46:32 - lightweight_realtime - INFO - [2025-12-22 07:46:32.202] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-22 07:46:34 - lightweight_realtime - INFO - [2025-12-22 07:46:34.202] Positions: 0 | State: SCANNING | Symbol: BTCJPYm
2025-12-22 07:46:35 - lightweight_realtime - INFO - [2025-12-22 07:46:35.242] Positions: 0 | State: SCANNING | Symbol: HK50m
2025-12-22 07:46:36 - lightweight_realtime - INFO - [2025-12-22 07:46:36.845] Positions: 0 | State: SCANNING | Symbol: BTCXAGm
2025-12-22 07:46:39 - lightweight_realtime - INFO - [2025-12-22 07:46:39.249] Positions: 0 | State: SCANNING | Symbol: EURGBPm
2025-12-22 07:46:42 - lightweight_realtime - INFO - [2025-12-22 07:46:42.053] Positions: 0 | State: SCANNING | Symbol: USDCADm
2025-12-22 07:46:44 - lightweight_realtime - INFO - [2025-12-22 07:46:44.688] Positions: 0 | State: SCANNING | Symbol: AUDJPYm
2025-12-22 07:46:46 - lightweight_realtime - INFO - [2025-12-22 07:46:46.202] Positions: 0 | State: SCANNING | Symbol: AUDJPYm
2025-12-22 07:46:47 - lightweight_realtime - INFO - [2025-12-22 07:46:47.566] Positions: 0 | State: SCANNING | Symbol: XAGUSDm
2025-12-22 07:46:48 - lightweight_realtime - INFO - [2025-12-22 07:46:48.682] Positions: 0 | State: SCANNING | Symbol: XAGUSDm
2025-12-22 07:46:49 - lightweight_realtime - INFO - [2025-12-22 07:46:49.722] Positions: 0 | State: SCANNING | Symbol: NZDCADm
2025-12-22 07:46:53 - lightweight_realtime - INFO - [2025-12-22 07:46:53.487] Positions: 0 | State: SCANNING | Symbol: GBPCHFm
2025-12-22 07:46:54 - lightweight_realtime - INFO - [2025-12-22 07:46:54.526] Positions: 0 | State: SCANNING | Symbol: GBPCHFm
2025-12-22 07:46:55 - lightweight_realtime - INFO - [2025-12-22 07:46:55.566] Positions: 0 | State: SCANNING | Symbol: GBPCHFm
2025-12-22 07:46:56 - lightweight_realtime - INFO - [2025-12-22 07:46:56.764] Positions: 0 | State: SCANNING | Symbol: GBPAUDm
2025-12-22 07:46:59 - lightweight_realtime - INFO - [2025-12-22 07:46:59.002] Positions: 0 | State: SCANNING | Symbol: HKDJPYm
2025-12-22 07:47:00 - lightweight_realtime - INFO - [2025-12-22 07:47:00.443] Positions: 0 | State: SCANNING | Symbol: HKDJPYm
2025-12-22 07:47:01 - lightweight_realtime - INFO - [2025-12-22 07:47:01.566] Positions: 0 | State: SCANNING | Symbol: HKDJPYm
2025-12-22 07:47:03 - lightweight_realtime - INFO - [2025-12-22 07:47:03.084] Positions: 0 | State: SCANNING | Symbol: XALUSDm
2025-12-22 07:47:04 - lightweight_realtime - INFO - [2025-12-22 07:47:04.289] Positions: 0 | State: SCANNING | Symbol: CADJPYm
2025-12-22 07:47:05 - lightweight_realtime - INFO - [2025-12-22 07:47:05.404] Positions: 0 | State: SCANNING | Symbol: CADJPYm
2025-12-22 07:47:06 - lightweight_realtime - INFO - [2025-12-22 07:47:06.922] Positions: 0 | State: SCANNING | Symbol: AUDSGDm
2025-12-22 07:47:08 - lightweight_realtime - INFO - [2025-12-22 07:47:08.049] Positions: 0 | State: SCANNING | Symbol: AUDSGDm
2025-12-22 07:47:09 - lightweight_realtime - INFO - [2025-12-22 07:47:09.802] Positions: 0 | State: SCANNING | Symbol: EURNZDm
2025-12-22 07:47:11 - lightweight_realtime - INFO - [2025-12-22 07:47:11.890] Positions: 0 | State: SCANNING | Symbol: GBPNZDm
2025-12-22 07:47:12 - lightweight_realtime - INFO - [2025-12-22 07:47:12.922] Positions: 0 | State: SCANNING | Symbol: XPTUSDm
2025-12-22 07:47:14 - lightweight_realtime - INFO - [2025-12-22 07:47:14.045] Positions: 0 | State: SCANNING | Symbol: XPTUSDm
2025-12-22 07:47:15 - lightweight_realtime - INFO - [2025-12-22 07:47:15.089] Positions: 0 | State: SCANNING | Symbol: SGDJPYm
2025-12-22 07:47:20 - lightweight_realtime - INFO - [2025-12-22 07:47:20.604] Positions: 0 | State: SCANNING | Symbol: USDSEKm
2025-12-22 07:47:21 - lightweight_realtime - INFO - [2025-12-22 07:47:21.962] Positions: 0 | State: SCANNING | Symbol: CHFSEKm
2025-12-22 07:47:23 - lightweight_realtime - INFO - [2025-12-22 07:47:23.322] Positions: 0 | State: SCANNING | Symbol: NOKJPYm
2025-12-22 07:47:25 - lightweight_realtime - INFO - [2025-12-22 07:47:25.002] Positions: 0 | State: SCANNING | Symbol: CHFSGDm
2025-12-22 07:47:26 - lightweight_realtime - INFO - [2025-12-22 07:47:26.366] Positions: 0 | State: SCANNING | Symbol: USDILSm
2025-12-22 07:47:30 - lightweight_realtime - INFO - [2025-12-22 07:47:30.525] Positions: 0 | State: SCANNING | Symbol: EURDKKm
2025-12-22 07:47:31 - lightweight_realtime - INFO - [2025-12-22 07:47:31.562] Positions: 0 | State: SCANNING | Symbol: USDMXNm
2025-12-22 07:47:32 - lightweight_realtime - INFO - [2025-12-22 07:47:32.682] Positions: 0 | State: SCANNING | Symbol: NZDMXNm
2025-12-22 07:47:36 - lightweight_realtime - INFO - [2025-12-22 07:47:36.126] Positions: 0 | State: SCANNING | Symbol: CHFMXNm
2025-12-22 07:47:37 - lightweight_realtime - INFO - [2025-12-22 07:47:37.562] Positions: 0 | State: SCANNING | Symbol: NZDDKKm
2025-12-22 07:47:38 - lightweight_realtime - INFO - [2025-12-22 07:47:38.682] Positions: 0 | State: SCANNING | Symbol: USDZARm
2025-12-22 07:47:39 - lightweight_realtime - INFO - [2025-12-22 07:47:39.882] Positions: 0 | State: SCANNING | Symbol: GBPSGDm
2025-12-22 07:47:41 - lightweight_realtime - INFO - [2025-12-22 07:47:41.328] Positions: 0 | State: SCANNING | Symbol: CADPLNm
2025-12-22 07:47:42 - lightweight_realtime - INFO - [2025-12-22 07:47:42.446] Positions: 0 | State: SCANNING | Symbol: USDPLNm
2025-12-22 07:47:43 - lightweight_realtime - INFO - [2025-12-22 07:47:43.886] Positions: 0 | State: SCANNING | Symbol: AUDZARm
2025-12-22 07:47:45 - lightweight_realtime - INFO - [2025-12-22 07:47:45.322] Positions: 0 | State: SCANNING | Symbol: NOKSEKm
2025-12-22 07:47:46 - lightweight_realtime - INFO - [2025-12-22 07:47:46.682] Positions: 0 | State: SCANNING | Symbol: CHFZARm
2025-12-22 07:47:48 - lightweight_realtime - INFO - [2025-12-22 07:47:48.127] Positions: 0 | State: SCANNING | Symbol: GBPZARm
2025-12-22 07:47:49 - lightweight_realtime - INFO - [2025-12-22 07:47:49.728] Positions: 0 | State: SCANNING | Symbol: GBPZARm
2025-12-22 07:47:50 - lightweight_realtime - INFO - [2025-12-22 07:47:50.766] Positions: 0 | State: SCANNING | Symbol: GBPZARm
2025-12-22 07:47:51 - lightweight_realtime - INFO - [2025-12-22 07:47:51.885] Positions: 0 | State: SCANNING | Symbol: AUDSEKm
2025-12-22 07:47:53 - lightweight_realtime - INFO - [2025-12-22 07:47:53.728] Positions: 0 | State: SCANNING | Symbol: NZDZARm
2025-12-22 07:47:54 - lightweight_realtime - INFO - [2025-12-22 07:47:54.843] Positions: 0 | State: SCANNING | Symbol: AUDDKKm
2025-12-22 07:47:55 - lightweight_realtime - INFO - [2025-12-22 07:47:55.962] Positions: 0 | State: SCANNING | Symbol: EURSEKm
2025-12-22 07:47:57 - lightweight_realtime - INFO - [2025-12-22 07:47:57.250] Positions: 0 | State: SCANNING | Symbol: PLNSEKm
