2025-12-15 12:33:40 - lightweight_realtime - INFO - [2025-12-15 12:33:40.130] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:41 - lightweight_realtime - INFO - [2025-12-15 12:33:41.178] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:42 - lightweight_realtime - INFO - [2025-12-15 12:33:42.199] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:43 - lightweight_realtime - INFO - [2025-12-15 12:33:43.224] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:44 - lightweight_realtime - INFO - [2025-12-15 12:33:44.258] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:45 - lightweight_realtime - INFO - [2025-12-15 12:33:45.290] Positions: 0 | State: SCANNING | Symbol: USDJPYm
2025-12-15 12:33:46 - lightweight_realtime - INFO - [2025-12-15 12:33:46.304] Positions: 0 | State: SCANNING | Symbol: AUDCHFm
2025-12-15 12:33:47 - lightweight_realtime - INFO - [2025-12-15 12:33:47.333] Positions: 0 | State: SCANNING | Symbol: GBPCHFm
2025-12-15 12:33:48 - lightweight_realtime - INFO - [2025-12-15 12:33:48.348] Positions: 0 | State: SCANNING | Symbol: UKOILm
2025-12-15 12:33:49 - lightweight_realtime - INFO - [2025-12-15 12:33:49.358] Positions: 0 | State: SCANNING | Symbol: USDHKDm
2025-12-15 12:33:50 - lightweight_realtime - INFO - [2025-12-15 12:33:50.397] Positions: 0 | State: SCANNING | Symbol: NZDPLNm
2025-12-15 12:33:51 - lightweight_realtime - INFO - [2025-12-15 12:33:51.431] Positions: 0 | State: SCANNING | Symbol: NZDSEKm
2025-12-15 12:33:52 - lightweight_realtime - INFO - [2025-12-15 12:33:52.472] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:53 - lightweight_realtime - INFO - [2025-12-15 12:33:53.489] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:54 - lightweight_realtime - INFO - [2025-12-15 12:33:54.493] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:55 - lightweight_realtime - INFO - [2025-12-15 12:33:55.503] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:56 - lightweight_realtime - INFO - [2025-12-15 12:33:56.525] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:57 - lightweight_realtime - INFO - [2025-12-15 12:33:57.548] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:58 - lightweight_realtime - INFO - [2025-12-15 12:33:58.570] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:33:59 - lightweight_realtime - INFO - [2025-12-15 12:33:59.596] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:00 - lightweight_realtime - INFO - [2025-12-15 12:34:00.615] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:01 - lightweight_realtime - INFO - [2025-12-15 12:34:01.632] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:02 - lightweight_realtime - INFO - [2025-12-15 12:34:02.647] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:03 - lightweight_realtime - INFO - [2025-12-15 12:34:03.672] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:04 - lightweight_realtime - INFO - [2025-12-15 12:34:04.708] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:05 - lightweight_realtime - INFO - [2025-12-15 12:34:05.729] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:06 - lightweight_realtime - INFO - [2025-12-15 12:34:06.757] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:07 - lightweight_realtime - INFO - [2025-12-15 12:34:07.767] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:08 - lightweight_realtime - INFO - [2025-12-15 12:34:08.786] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:09 - lightweight_realtime - INFO - [2025-12-15 12:34:09.809] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:10 - lightweight_realtime - INFO - [2025-12-15 12:34:10.890] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:12 - lightweight_realtime - INFO - [2025-12-15 12:34:12.253] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-15 12:34:13 - lightweight_realtime - INFO - [2025-12-15 12:34:13.281] Positions: 0 | State: SCANNING | Symbol: FR40m
2025-12-15 12:34:14 - lightweight_realtime - INFO - [2025-12-15 12:34:14.363] Positions: 0 | State: SCANNING | Symbol: BTCZARm
2025-12-15 12:34:15 - lightweight_realtime - INFO - [2025-12-15 12:34:15.371] Positions: 0 | State: SCANNING | Symbol: CHFJPYm
2025-12-15 12:34:16 - lightweight_realtime - INFO - [2025-12-15 12:34:16.419] Positions: 0 | State: SCANNING | Symbol: DKKSGDm
2025-12-15 12:34:17 - lightweight_realtime - INFO - [2025-12-15 12:34:17.441] Positions: 0 | State: SCANNING | Symbol: CHFNOKm
2025-12-15 12:34:18 - lightweight_realtime - INFO - [2025-12-15 12:34:18.460] Positions: 0 | State: SCANNING | Symbol: SGDHKDm
2025-12-15 12:34:19 - lightweight_realtime - INFO - [2025-12-15 12:34:19.483] Positions: 0 | State: SCANNING | Symbol: AUDSEKm
2025-12-15 12:34:20 - lightweight_realtime - INFO - [2025-12-15 12:34:20.494] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:21 - lightweight_realtime - INFO - [2025-12-15 12:34:21.514] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:22 - lightweight_realtime - INFO - [2025-12-15 12:34:22.523] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:23 - lightweight_realtime - INFO - [2025-12-15 12:34:23.536] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:24 - lightweight_realtime - INFO - [2025-12-15 12:34:24.609] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:25 - lightweight_realtime - INFO - [2025-12-15 12:34:25.615] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-15 12:34:26 - lightweight_realtime - INFO - [2025-12-15 12:34:26.630] Positions: 0 | State: IDLE | Symbol: N/A
