2025-12-22 19:29:00 - lightweight_realtime - INFO - [2025-12-22 19:29:00.933] Positions: 0 | State: SCANNING | Symbol: BIDUm
2025-12-22 19:29:01 - lightweight_realtime - INFO - [2025-12-22 19:29:01.972] Positions: 0 | State: SCANNING | Symbol: PMm
2025-12-22 19:29:04 - lightweight_realtime - INFO - [2025-12-22 19:29:04.378] Positions: 0 | State: SCANNING | Symbol: MMMm
2025-12-22 19:29:07 - lightweight_realtime - INFO - [2025-12-22 19:29:07.337] Positions: 0 | State: SCANNING | Symbol: GBPJPYm
2025-12-22 19:29:08 - lightweight_realtime - INFO - [2025-12-22 19:29:08.697] Positions: 0 | State: SCANNING | Symbol: ZARJPYm
2025-12-22 19:29:10 - lightweight_realtime - INFO - [2025-12-22 19:29:10.303] Positions: 0 | State: SCANNING | Symbol: ABBVm
2025-12-22 19:29:11 - lightweight_realtime - INFO - [2025-12-22 19:29:11.573] Positions: 0 | State: SCANNING | Symbol: CHFJPYm
2025-12-22 19:29:13 - lightweight_realtime - INFO - [2025-12-22 19:29:12.950] Positions: 0 | State: SCANNING | Symbol: XAGGBPm
2025-12-22 19:29:14 - lightweight_realtime - INFO - [2025-12-22 19:29:14.136] Positions: 0 | State: SCANNING | Symbol: MCDm
2025-12-22 19:29:15 - lightweight_realtime - INFO - [2025-12-22 19:29:15.660] Positions: 0 | State: SCANNING | Symbol: Vm
2025-12-22 19:29:17 - lightweight_realtime - INFO - [2025-12-22 19:29:17.097] Positions: 0 | State: SCANNING | Symbol: Vm
2025-12-22 19:29:19 - lightweight_realtime - INFO - [2025-12-22 19:29:19.033] Positions: 0 | State: SCANNING | Symbol: UNHm
2025-12-22 19:29:20 - lightweight_realtime - INFO - [2025-12-22 19:29:20.221] Positions: 0 | State: SCANNING | Symbol: XAGEURm
2025-12-22 19:29:21 - lightweight_realtime - INFO - [2025-12-22 19:29:21.741] Positions: 0 | State: SCANNING | Symbol: IBMm
2025-12-22 19:29:23 - lightweight_realtime - INFO - [2025-12-22 19:29:23.258] Positions: 0 | State: SCANNING | Symbol: EURCADm
2025-12-22 19:29:24 - lightweight_realtime - INFO - [2025-12-22 19:29:24.455] Positions: 0 | State: SCANNING | Symbol: ADBEm
2025-12-22 19:29:26 - lightweight_realtime - INFO - [2025-12-22 19:29:26.377] Positions: 0 | State: SCANNING | Symbol: HKDJPYm
2025-12-22 19:29:28 - lightweight_realtime - INFO - [2025-12-22 19:29:28.293] Positions: 0 | State: SCANNING | Symbol: GOOGLm
2025-12-22 19:29:29 - lightweight_realtime - INFO - [2025-12-22 19:29:29.495] Positions: 0 | State: SCANNING | Symbol: JPMm
2025-12-22 19:29:30 - lightweight_realtime - INFO - [2025-12-22 19:29:30.703] Positions: 0 | State: SCANNING | Symbol: MSFTm
2025-12-22 19:29:32 - lightweight_realtime - INFO - [2025-12-22 19:29:32.373] Positions: 0 | State: SCANNING | Symbol: DKKJPYm
2025-12-22 19:29:33 - lightweight_realtime - INFO - [2025-12-22 19:29:33.573] Positions: 0 | State: SCANNING | Symbol: CADJPYm
2025-12-22 19:29:34 - lightweight_realtime - INFO - [2025-12-22 19:29:34.780] Positions: 0 | State: SCANNING | Symbol: NFLXm
2025-12-22 19:29:36 - lightweight_realtime - INFO - [2025-12-22 19:29:36.296] Positions: 0 | State: SCANNING | Symbol: GBPCADm
2025-12-22 19:29:37 - lightweight_realtime - INFO - [2025-12-22 19:29:37.895] Positions: 0 | State: SCANNING | Symbol: BAm
2025-12-22 19:29:39 - lightweight_realtime - INFO - [2025-12-22 19:29:39.175] Positions: 0 | State: SCANNING | Symbol: BAm
2025-12-22 19:29:40 - lightweight_realtime - INFO - [2025-12-22 19:29:40.373] Positions: 0 | State: SCANNING | Symbol: COSTm
2025-12-22 19:29:41 - lightweight_realtime - INFO - [2025-12-22 19:29:41.413] Positions: 0 | State: SCANNING | Symbol: MAm
2025-12-22 19:29:42 - lightweight_realtime - INFO - [2025-12-22 19:29:42.617] Positions: 0 | State: SCANNING | Symbol: EURNZDm
2025-12-22 19:29:43 - lightweight_realtime - INFO - [2025-12-22 19:29:43.914] Positions: 0 | State: SCANNING | Symbol: VRTXm
2025-12-22 19:29:45 - lightweight_realtime - INFO - [2025-12-22 19:29:45.339] Positions: 0 | State: SCANNING | Symbol: TMOm
2025-12-22 19:29:48 - lightweight_realtime - INFO - [2025-12-22 19:29:48.058] Positions: 0 | State: SCANNING | Symbol: XPTUSDm
2025-12-22 19:29:49 - lightweight_realtime - INFO - [2025-12-22 19:29:49.575] Positions: 0 | State: SCANNING | Symbol: INTUm
2025-12-22 19:29:51 - lightweight_realtime - INFO - [2025-12-22 19:29:51.576] Positions: 0 | State: SCANNING | Symbol: ISRGm
2025-12-22 19:29:52 - lightweight_realtime - INFO - [2025-12-22 19:29:52.775] Positions: 0 | State: SCANNING | Symbol: UKOILm
2025-12-22 19:29:53 - lightweight_realtime - INFO - [2025-12-22 19:29:53.897] Positions: 0 | State: SCANNING | Symbol: UKOILm
2025-12-22 19:29:55 - lightweight_realtime - INFO - [2025-12-22 19:29:55.174] Positions: 0 | State: SCANNING | Symbol: REGNm
2025-12-22 19:29:57 - lightweight_realtime - INFO - [2025-12-22 19:29:57.493] Positions: 0 | State: SCANNING | Symbol: EQIXm
2025-12-22 19:29:58 - lightweight_realtime - INFO - [2025-12-22 19:29:58.705] Positions: 0 | State: SCANNING | Symbol: NZDSGDm
2025-12-22 19:29:59 - lightweight_realtime - INFO - [2025-12-22 19:29:59.818] Positions: 0 | State: SCANNING | Symbol: BTCTHBm
2025-12-22 19:30:01 - lightweight_realtime - INFO - [2025-12-22 19:30:01.016] Positions: 0 | State: SCANNING | Symbol: GBPNOKm
2025-12-22 19:30:02 - lightweight_realtime - INFO - [2025-12-22 19:30:02.348] Positions: 0 | State: SCANNING | Symbol: CHFNOKm
2025-12-22 19:30:03 - lightweight_realtime - INFO - [2025-12-22 19:30:03.495] Positions: 0 | State: SCANNING | Symbol: USDSEKm
2025-12-22 19:30:06 - lightweight_realtime - INFO - [2025-12-22 19:30:06.481] Positions: 0 | State: SCANNING | Symbol: GBPSEKm
2025-12-22 19:30:08 - lightweight_realtime - INFO - [2025-12-22 19:30:08.453] Positions: 0 | State: SCANNING | Symbol: CHFSEKm
2025-12-22 19:30:09 - lightweight_realtime - INFO - [2025-12-22 19:30:09.574] Positions: 0 | State: SCANNING | Symbol: CHFSEKm
2025-12-22 19:30:10 - lightweight_realtime - INFO - [2025-12-22 19:30:10.935] Positions: 0 | State: SCANNING | Symbol: CHFSGDm
2025-12-22 19:30:12 - lightweight_realtime - INFO - [2025-12-22 19:30:12.061] Positions: 0 | State: SCANNING | Symbol: SEKJPYm
2025-12-22 19:30:13 - lightweight_realtime - INFO - [2025-12-22 19:30:13.259] Positions: 0 | State: SCANNING | Symbol: XNGUSDm
2025-12-22 19:30:14 - lightweight_realtime - INFO - [2025-12-22 19:30:14.619] Positions: 0 | State: SCANNING | Symbol: USDCNHm
2025-12-22 19:30:16 - lightweight_realtime - INFO - [2025-12-22 19:30:16.133] Positions: 0 | State: SCANNING | Symbol: USDHKDm
2025-12-22 19:30:17 - lightweight_realtime - INFO - [2025-12-22 19:30:17.922] Positions: 0 | State: SCANNING | Symbol: MXNJPYm
2025-12-22 19:30:19 - lightweight_realtime - INFO - [2025-12-22 19:30:19.175] Positions: 0 | State: SCANNING | Symbol: DKKZARm
2025-12-22 19:30:20 - lightweight_realtime - INFO - [2025-12-22 19:30:20.381] Positions: 0 | State: SCANNING | Symbol: DKKZARm
2025-12-22 19:30:21 - lightweight_realtime - INFO - [2025-12-22 19:30:21.500] Positions: 0 | State: SCANNING | Symbol: BTCXAUm
2025-12-22 19:30:23 - lightweight_realtime - INFO - [2025-12-22 19:30:23.259] Positions: 0 | State: SCANNING | Symbol: USDMXNm
2025-12-22 19:30:24 - lightweight_realtime - INFO - [2025-12-22 19:30:24.401] Positions: 0 | State: SCANNING | Symbol: AUDMXNm
2025-12-22 19:30:26 - lightweight_realtime - INFO - [2025-12-22 19:30:26.538] Positions: 0 | State: SCANNING | Symbol: NOKDKKm
2025-12-22 19:30:28 - lightweight_realtime - INFO - [2025-12-22 19:30:28.857] Positions: 0 | State: SCANNING | Symbol: NZDMXNm
2025-12-22 19:30:30 - lightweight_realtime - INFO - [2025-12-22 19:30:30.294] Positions: 0 | State: SCANNING | Symbol: CHFZARm
2025-12-22 19:30:31 - lightweight_realtime - INFO - [2025-12-22 19:30:31.493] Positions: 0 | State: SCANNING | Symbol: CHFDKKm
2025-12-22 19:30:32 - lightweight_realtime - INFO - [2025-12-22 19:30:32.782] Positions: 0 | State: SCANNING | Symbol: EURMXNm
2025-12-22 19:30:34 - lightweight_realtime - INFO - [2025-12-22 19:30:34.296] Positions: 0 | State: SCANNING | Symbol: GBPMXNm
2025-12-22 19:30:35 - lightweight_realtime - INFO - [2025-12-22 19:30:35.508] Positions: 0 | State: SCANNING | Symbol: CHFMXNm
2025-12-22 19:30:37 - lightweight_realtime - INFO - [2025-12-22 19:30:37.337] Positions: 0 | State: SCANNING | Symbol: NZDDKKm
2025-12-22 19:30:38 - lightweight_realtime - INFO - [2025-12-22 19:30:38.619] Positions: 0 | State: SCANNING | Symbol: USDZARm
2025-12-22 19:30:40 - lightweight_realtime - INFO - [2025-12-22 19:30:40.142] Positions: 0 | State: SCANNING | Symbol: PLNDKKm
2025-12-22 19:30:41 - lightweight_realtime - INFO - [2025-12-22 19:30:41.500] Positions: 0 | State: SCANNING | Symbol: NZDPLNm
2025-12-22 19:30:43 - lightweight_realtime - INFO - [2025-12-22 19:30:43.893] Positions: 0 | State: SCANNING | Symbol: USDPLNm
2025-12-22 19:30:45 - lightweight_realtime - INFO - [2025-12-22 19:30:45.659] Positions: 0 | State: SCANNING | Symbol: USDPLNm
2025-12-22 19:30:46 - lightweight_realtime - INFO - [2025-12-22 19:30:46.693] Positions: 0 | State: SCANNING | Symbol: USDPLNm
2025-12-22 19:30:48 - lightweight_realtime - INFO - [2025-12-22 19:30:48.213] Positions: 0 | State: SCANNING | Symbol: AUDZARm
2025-12-22 19:30:49 - lightweight_realtime - INFO - [2025-12-22 19:30:49.813] Positions: 0 | State: SCANNING | Symbol: AUDZARm
2025-12-22 19:30:50 - lightweight_realtime - INFO - [2025-12-22 19:30:50.853] Positions: 0 | State: SCANNING | Symbol: USDTHBm
2025-12-22 19:30:51 - lightweight_realtime - INFO - [2025-12-22 19:30:51.981] Positions: 0 | State: SCANNING | Symbol: AUDNOKm
2025-12-22 19:30:53 - lightweight_realtime - INFO - [2025-12-22 19:30:53.498] Positions: 0 | State: SCANNING | Symbol: GBPZARm
2025-12-22 19:30:54 - lightweight_realtime - INFO - [2025-12-22 19:30:54.857] Positions: 0 | State: SCANNING | Symbol: CHFPLNm
2025-12-22 19:30:56 - lightweight_realtime - INFO - [2025-12-22 19:30:56.218] Positions: 0 | State: SCANNING | Symbol: AUDSEKm
2025-12-22 19:30:57 - lightweight_realtime - INFO - [2025-12-22 19:30:57.333] Positions: 0 | State: SCANNING | Symbol: AUDSEKm
2025-12-22 19:30:58 - lightweight_realtime - INFO - [2025-12-22 19:30:58.457] Positions: 0 | State: SCANNING | Symbol: EURNOKm
2025-12-22 19:30:59 - lightweight_realtime - INFO - [2025-12-22 19:30:59.579] Positions: 0 | State: SCANNING | Symbol: NZDZARm
2025-12-22 19:31:01 - lightweight_realtime - INFO - [2025-12-22 19:31:01.113] Positions: 0 | State: SCANNING | Symbol: EURSEKm
2025-12-22 19:31:02 - lightweight_realtime - INFO - [2025-12-22 19:31:02.377] Positions: 0 | State: SCANNING | Symbol: GBPDKKm
2025-12-22 19:31:03 - lightweight_realtime - INFO - [2025-12-22 19:31:03.653] Positions: 0 | State: SCANNING | Symbol: NZDNOKm
2025-12-22 19:31:04 - lightweight_realtime - INFO - [2025-12-22 19:31:04.693] Positions: 0 | State: SCANNING | Symbol: EURZARm
2025-12-22 19:31:05 - lightweight_realtime - INFO - [2025-12-22 19:31:05.733] Positions: 0 | State: SCANNING | Symbol: EURZARm
2025-12-22 19:31:07 - lightweight_realtime - INFO - [2025-12-22 19:31:07.256] Positions: 0 | State: SCANNING | Symbol: CADNOKm
2025-12-22 19:31:08 - lightweight_realtime - INFO - [2025-12-22 19:31:08.461] Positions: 0 | State: SCANNING | Symbol: CADNOKm
2025-12-22 19:31:09 - lightweight_realtime - INFO - [2025-12-22 19:31:09.902] Positions: 0 | State: SCANNING | Symbol: CADNOKm
2025-12-22 19:31:11 - lightweight_realtime - INFO - [2025-12-22 19:31:11.109] Positions: 0 | State: SCANNING | Symbol: CADNOKm
2025-12-22 19:31:12 - lightweight_realtime - INFO - [2025-12-22 19:31:12.706] Positions: 1 | State: ENTERING TRADE | Symbol: TSLAm
2025-12-22 19:31:14 - lightweight_realtime - INFO - [2025-12-22 19:31:14.300] Positions: 1 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-22 19:31:15 - lightweight_realtime - INFO - [2025-12-22 19:31:15.973] Positions: 1 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-22 19:31:17 - lightweight_realtime - INFO - [2025-12-22 19:31:17.173] Positions: 1 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-22 19:31:18 - lightweight_realtime - INFO - [2025-12-22 19:31:18.697] Positions: 1 | State: MANAGING TRADE | Symbol: TSLAm
2025-12-22 19:31:20 - lightweight_realtime - INFO - [2025-12-22 19:31:20.133] Positions: 1 | State: ENTERING TRADE | Symbol: US30m
2025-12-22 19:31:21 - lightweight_realtime - INFO - [2025-12-22 19:31:21.260] Positions: 2 | State: MANAGING TRADE | Symbol: US30m
2025-12-22 19:31:22 - lightweight_realtime - INFO - [2025-12-22 19:31:22.460] Positions: 2 | State: MANAGING TRADE | Symbol: US30m
2025-12-22 19:31:23 - lightweight_realtime - INFO - [2025-12-22 19:31:23.653] Positions: 2 | State: MANAGING TRADE | Symbol: US30m
2025-12-22 19:31:26 - lightweight_realtime - INFO - [2025-12-22 19:31:26.294] Positions: 3 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-22 19:31:27 - lightweight_realtime - INFO - [2025-12-22 19:31:27.493] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:30 - lightweight_realtime - INFO - [2025-12-22 19:31:30.780] Positions: 2 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:31 - lightweight_realtime - INFO - [2025-12-22 19:31:31.816] Positions: 2 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:32 - lightweight_realtime - INFO - [2025-12-22 19:31:32.853] Positions: 2 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:34 - lightweight_realtime - INFO - [2025-12-22 19:31:34.459] Positions: 2 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:35 - lightweight_realtime - INFO - [2025-12-22 19:31:35.973] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:37 - lightweight_realtime - INFO - [2025-12-22 19:31:37.098] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:39 - lightweight_realtime - INFO - [2025-12-22 19:31:39.336] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:40 - lightweight_realtime - INFO - [2025-12-22 19:31:40.458] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:41 - lightweight_realtime - INFO - [2025-12-22 19:31:41.656] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:42 - lightweight_realtime - INFO - [2025-12-22 19:31:42.706] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:43 - lightweight_realtime - INFO - [2025-12-22 19:31:43.901] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:45 - lightweight_realtime - INFO - [2025-12-22 19:31:45.176] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:46 - lightweight_realtime - INFO - [2025-12-22 19:31:46.613] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:49 - lightweight_realtime - INFO - [2025-12-22 19:31:47.813] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:50 - lightweight_realtime - INFO - [2025-12-22 19:31:50.295] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:51 - lightweight_realtime - INFO - [2025-12-22 19:31:51.494] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:52 - lightweight_realtime - INFO - [2025-12-22 19:31:52.700] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:54 - lightweight_realtime - INFO - [2025-12-22 19:31:53.979] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:55 - lightweight_realtime - INFO - [2025-12-22 19:31:55.098] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:56 - lightweight_realtime - INFO - [2025-12-22 19:31:56.453] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:58 - lightweight_realtime - INFO - [2025-12-22 19:31:57.898] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:31:59 - lightweight_realtime - INFO - [2025-12-22 19:31:59.739] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:32:01 - lightweight_realtime - INFO - [2025-12-22 19:32:01.737] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:32:02 - lightweight_realtime - INFO - [2025-12-22 19:32:02.861] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:32:04 - lightweight_realtime - INFO - [2025-12-22 19:32:04.217] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:32:05 - lightweight_realtime - INFO - [2025-12-22 19:32:05.583] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:32:07 - lightweight_realtime - INFO - [2025-12-22 19:32:07.258] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:32:08 - lightweight_realtime - INFO - [2025-12-22 19:32:08.695] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-22 19:32:11 - lightweight_realtime - INFO - [2025-12-22 19:32:10.934] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
