2025-12-22 17:30:19 - lightweight_realtime - INFO - [2025-12-22 17:30:19.414] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:20 - lightweight_realtime - INFO - [2025-12-22 17:30:20.474] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:21 - lightweight_realtime - INFO - [2025-12-22 17:30:21.508] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:22 - lightweight_realtime - INFO - [2025-12-22 17:30:22.533] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:23 - lightweight_realtime - INFO - [2025-12-22 17:30:23.565] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:24 - lightweight_realtime - INFO - [2025-12-22 17:30:24.593] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:25 - lightweight_realtime - INFO - [2025-12-22 17:30:25.620] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:26 - lightweight_realtime - INFO - [2025-12-22 17:30:26.648] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:27 - lightweight_realtime - INFO - [2025-12-22 17:30:27.664] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:28 - lightweight_realtime - INFO - [2025-12-22 17:30:28.682] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:29 - lightweight_realtime - INFO - [2025-12-22 17:30:29.711] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:30 - lightweight_realtime - INFO - [2025-12-22 17:30:30.741] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
2025-12-22 17:30:31 - lightweight_realtime - INFO - [2025-12-22 17:30:31.758] Positions: 2 | State: MANAGING TRADE | Symbol: XAUUSDm
