2025-12-13 07:45:28 - lightweight_realtime - INFO - [2025-12-13 07:45:28.248] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:29 - lightweight_realtime - INFO - [2025-12-13 07:45:29.291] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:30 - lightweight_realtime - INFO - [2025-12-13 07:45:30.331] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:31 - lightweight_realtime - INFO - [2025-12-13 07:45:31.381] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:32 - lightweight_realtime - INFO - [2025-12-13 07:45:32.412] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:33 - lightweight_realtime - INFO - [2025-12-13 07:45:33.455] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:34 - lightweight_realtime - INFO - [2025-12-13 07:45:34.491] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:35 - lightweight_realtime - INFO - [2025-12-13 07:45:35.531] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:36 - lightweight_realtime - INFO - [2025-12-13 07:45:36.571] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:37 - lightweight_realtime - INFO - [2025-12-13 07:45:37.611] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:38 - lightweight_realtime - INFO - [2025-12-13 07:45:38.651] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:39 - lightweight_realtime - INFO - [2025-12-13 07:45:39.691] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:40 - lightweight_realtime - INFO - [2025-12-13 07:45:40.975] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:42 - lightweight_realtime - INFO - [2025-12-13 07:45:42.011] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:43 - lightweight_realtime - INFO - [2025-12-13 07:45:43.052] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:44 - lightweight_realtime - INFO - [2025-12-13 07:45:44.811] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:45 - lightweight_realtime - INFO - [2025-12-13 07:45:45.851] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:46 - lightweight_realtime - INFO - [2025-12-13 07:45:46.858] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:47 - lightweight_realtime - INFO - [2025-12-13 07:45:47.931] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:48 - lightweight_realtime - INFO - [2025-12-13 07:45:48.971] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:50 - lightweight_realtime - INFO - [2025-12-13 07:45:50.000] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:51 - lightweight_realtime - INFO - [2025-12-13 07:45:51.052] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:52 - lightweight_realtime - INFO - [2025-12-13 07:45:52.091] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:53 - lightweight_realtime - INFO - [2025-12-13 07:45:53.131] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:54 - lightweight_realtime - INFO - [2025-12-13 07:45:54.171] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:55 - lightweight_realtime - INFO - [2025-12-13 07:45:55.212] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:56 - lightweight_realtime - INFO - [2025-12-13 07:45:56.251] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:57 - lightweight_realtime - INFO - [2025-12-13 07:45:57.291] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:58 - lightweight_realtime - INFO - [2025-12-13 07:45:58.337] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:45:59 - lightweight_realtime - INFO - [2025-12-13 07:45:59.371] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:00 - lightweight_realtime - INFO - [2025-12-13 07:46:00.411] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:02 - lightweight_realtime - INFO - [2025-12-13 07:46:02.139] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:03 - lightweight_realtime - INFO - [2025-12-13 07:46:03.217] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:04 - lightweight_realtime - INFO - [2025-12-13 07:46:04.251] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:05 - lightweight_realtime - INFO - [2025-12-13 07:46:05.291] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:06 - lightweight_realtime - INFO - [2025-12-13 07:46:06.331] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:07 - lightweight_realtime - INFO - [2025-12-13 07:46:07.361] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:08 - lightweight_realtime - INFO - [2025-12-13 07:46:08.411] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:09 - lightweight_realtime - INFO - [2025-12-13 07:46:09.455] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:10 - lightweight_realtime - INFO - [2025-12-13 07:46:10.491] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:11 - lightweight_realtime - INFO - [2025-12-13 07:46:11.531] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:12 - lightweight_realtime - INFO - [2025-12-13 07:46:12.571] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:13 - lightweight_realtime - INFO - [2025-12-13 07:46:13.615] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:14 - lightweight_realtime - INFO - [2025-12-13 07:46:14.651] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:15 - lightweight_realtime - INFO - [2025-12-13 07:46:15.691] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:16 - lightweight_realtime - INFO - [2025-12-13 07:46:16.731] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:17 - lightweight_realtime - INFO - [2025-12-13 07:46:17.771] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:18 - lightweight_realtime - INFO - [2025-12-13 07:46:18.976] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:20 - lightweight_realtime - INFO - [2025-12-13 07:46:20.011] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:21 - lightweight_realtime - INFO - [2025-12-13 07:46:21.051] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:22 - lightweight_realtime - INFO - [2025-12-13 07:46:22.091] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:23 - lightweight_realtime - INFO - [2025-12-13 07:46:23.131] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:24 - lightweight_realtime - INFO - [2025-12-13 07:46:24.171] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:25 - lightweight_realtime - INFO - [2025-12-13 07:46:25.209] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:26 - lightweight_realtime - INFO - [2025-12-13 07:46:26.251] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:27 - lightweight_realtime - INFO - [2025-12-13 07:46:27.291] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:28 - lightweight_realtime - INFO - [2025-12-13 07:46:28.331] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:29 - lightweight_realtime - INFO - [2025-12-13 07:46:29.371] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:30 - lightweight_realtime - INFO - [2025-12-13 07:46:30.411] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:31 - lightweight_realtime - INFO - [2025-12-13 07:46:31.693] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:32 - lightweight_realtime - INFO - [2025-12-13 07:46:32.731] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:33 - lightweight_realtime - INFO - [2025-12-13 07:46:33.771] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:34 - lightweight_realtime - INFO - [2025-12-13 07:46:34.811] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:35 - lightweight_realtime - INFO - [2025-12-13 07:46:35.851] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:36 - lightweight_realtime - INFO - [2025-12-13 07:46:36.895] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:37 - lightweight_realtime - INFO - [2025-12-13 07:46:37.935] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:38 - lightweight_realtime - INFO - [2025-12-13 07:46:38.969] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
2025-12-13 07:46:40 - lightweight_realtime - INFO - [2025-12-13 07:46:40.011] Positions: 0 | State: MANAGING TRADE | Symbol: PMm
