2025-12-19 12:08:55 - lightweight_realtime - INFO - [2025-12-19 12:08:55.179] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:56 - lightweight_realtime - INFO - [2025-12-19 12:08:56.194] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:57 - lightweight_realtime - INFO - [2025-12-19 12:08:57.214] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:58 - lightweight_realtime - INFO - [2025-12-19 12:08:58.229] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:08:59 - lightweight_realtime - INFO - [2025-12-19 12:08:59.258] Positions: 2 | State: ENTERING TRADE | Symbol: US30_x10m
2025-12-19 12:09:00 - lightweight_realtime - INFO - [2025-12-19 12:09:00.306] Positions: 2 | State: SCANNING | Symbol: XAUUSDm
2025-12-19 12:09:01 - lightweight_realtime - INFO - [2025-12-19 12:09:01.471] Positions: 1 | State: SCANNING | Symbol: XAUEURm
2025-12-19 12:09:02 - lightweight_realtime - INFO - [2025-12-19 12:09:02.513] Positions: 1 | State: SCANNING | Symbol: UK100m
2025-12-19 12:09:03 - lightweight_realtime - INFO - [2025-12-19 12:09:03.529] Positions: 1 | State: SCANNING | Symbol: USOILm
2025-12-19 12:09:04 - lightweight_realtime - INFO - [2025-12-19 12:09:04.567] Positions: 1 | State: SCANNING | Symbol: GBPAUDm
2025-12-19 12:09:05 - lightweight_realtime - INFO - [2025-12-19 12:09:05.589] Positions: 1 | State: SCANNING | Symbol: UKOILm
2025-12-19 12:09:06 - lightweight_realtime - INFO - [2025-12-19 12:09:06.616] Positions: 1 | State: SCANNING | Symbol: CHFSGDm
2025-12-19 12:09:07 - lightweight_realtime - INFO - [2025-12-19 12:09:07.630] Positions: 1 | State: SCANNING | Symbol: CHFZARm
2025-12-19 12:09:08 - lightweight_realtime - INFO - [2025-12-19 12:09:08.842] Positions: 2 | State: MANAGING TRADE | Symbol: US30m
2025-12-19 12:09:10 - lightweight_realtime - INFO - [2025-12-19 12:09:10.026] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:11 - lightweight_realtime - INFO - [2025-12-19 12:09:11.035] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:12 - lightweight_realtime - INFO - [2025-12-19 12:09:12.053] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:13 - lightweight_realtime - INFO - [2025-12-19 12:09:13.421] Positions: 3 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:14 - lightweight_realtime - INFO - [2025-12-19 12:09:14.441] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:15 - lightweight_realtime - INFO - [2025-12-19 12:09:15.453] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:16 - lightweight_realtime - INFO - [2025-12-19 12:09:16.462] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:17 - lightweight_realtime - INFO - [2025-12-19 12:09:17.473] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:18 - lightweight_realtime - INFO - [2025-12-19 12:09:18.478] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:19 - lightweight_realtime - INFO - [2025-12-19 12:09:19.484] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:20 - lightweight_realtime - INFO - [2025-12-19 12:09:20.493] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:21 - lightweight_realtime - INFO - [2025-12-19 12:09:21.501] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:22 - lightweight_realtime - INFO - [2025-12-19 12:09:22.508] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:23 - lightweight_realtime - INFO - [2025-12-19 12:09:23.524] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:24 - lightweight_realtime - INFO - [2025-12-19 12:09:24.532] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:25 - lightweight_realtime - INFO - [2025-12-19 12:09:25.584] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:26 - lightweight_realtime - INFO - [2025-12-19 12:09:26.595] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
2025-12-19 12:09:27 - lightweight_realtime - INFO - [2025-12-19 12:09:27.610] Positions: 1 | State: MANAGING TRADE | Symbol: US30_x10m
