2025-12-21 19:19:07 - lightweight_realtime - INFO - [2025-12-21 19:19:07.459] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:08 - lightweight_realtime - INFO - [2025-12-21 19:19:08.462] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:09 - lightweight_realtime - INFO - [2025-12-21 19:19:09.478] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:10 - lightweight_realtime - INFO - [2025-12-21 19:19:10.489] Positions: 0 | State: SCANNING | Symbol: N/A
2025-12-21 19:19:11 - lightweight_realtime - INFO - [2025-12-21 19:19:11.555] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-21 19:19:12 - lightweight_realtime - INFO - [2025-12-21 19:19:12.765] Positions: 0 | State: SCANNING | Symbol: BTCUSDm
2025-12-21 19:19:13 - lightweight_realtime - INFO - [2025-12-21 19:19:13.913] Positions: 0 | State: SCANNING | Symbol: BTCAUDm
2025-12-21 19:19:14 - lightweight_realtime - INFO - [2025-12-21 19:19:14.935] Positions: 0 | State: SCANNING | Symbol: USDJOD
2025-12-21 19:19:16 - lightweight_realtime - INFO - [2025-12-21 19:19:16.300] Positions: 0 | State: SCANNING | Symbol: BTCTHBm
2025-12-21 19:19:17 - lightweight_realtime - INFO - [2025-12-21 19:19:17.327] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:18 - lightweight_realtime - INFO - [2025-12-21 19:19:18.342] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:19 - lightweight_realtime - INFO - [2025-12-21 19:19:19.362] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:20 - lightweight_realtime - INFO - [2025-12-21 19:19:20.385] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:21 - lightweight_realtime - INFO - [2025-12-21 19:19:21.409] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:22 - lightweight_realtime - INFO - [2025-12-21 19:19:22.416] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:23 - lightweight_realtime - INFO - [2025-12-21 19:19:23.442] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:24 - lightweight_realtime - INFO - [2025-12-21 19:19:24.455] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:25 - lightweight_realtime - INFO - [2025-12-21 19:19:25.465] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:26 - lightweight_realtime - INFO - [2025-12-21 19:19:26.485] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:27 - lightweight_realtime - INFO - [2025-12-21 19:19:27.508] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:28 - lightweight_realtime - INFO - [2025-12-21 19:19:28.520] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:29 - lightweight_realtime - INFO - [2025-12-21 19:19:29.533] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:30 - lightweight_realtime - INFO - [2025-12-21 19:19:30.555] Positions: 0 | State: IDLE | Symbol: N/A
2025-12-21 19:19:31 - lightweight_realtime - INFO - [2025-12-21 19:19:31.571] Positions: 0 | State: IDLE | Symbol: N/A
