2025-12-09 16:40:20 - discrepancies - WARNING - Order 465293665 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467008877 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467457902 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467033457 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465536381 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465444733 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467459965 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467489662 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467703168 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467365254 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467433350 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465427850 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467599755 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467700627 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464890772 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467468693 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464432023 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467551128 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 465607067 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467462045 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464426398 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467455902 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 467600797 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
2025-12-09 16:40:20 - discrepancies - WARNING - Order 464533923 | Type: NOT_IN_BOT | Trade in broker but not in bot logs
